GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ogham Core,fr.sii.ogham.core.message.content,MultiContent,53,39,2,0,11,8,5,5,4,5
Ogham Core,fr.sii.ogham.core.message.content,EmailVariant,24,0,0,0,3,0,1,0,1,0
Ogham Core,fr.sii.ogham.core.message.content,ParsedContent,106,0,10,0,21,0,16,0,11,0
Ogham Core,fr.sii.ogham.core.message.content,TemplateContent,60,36,0,0,15,2,7,2,7,2
Ogham Core,fr.sii.ogham.core.message.content,MultiTemplateContent,98,0,2,0,20,0,10,0,9,0
Ogham Core,fr.sii.ogham.core.message.content,TemplateVariantContent,108,0,0,0,16,0,8,0,8,0
Ogham Core,fr.sii.ogham.core.message.content,StringContent,0,40,0,0,0,10,0,7,0,7
Ogham Core,fr.sii.ogham.core.message.content,StringTemplateContent,16,0,0,0,4,0,2,0,2,0
Ogham Core,fr.sii.ogham.email.exception.attachment.translator,ResourceTranslatorException,13,0,0,0,6,0,3,0,3,0
Ogham Core,fr.sii.ogham.core.condition.provider,RequiredPropertiesAnnotationProvider,72,0,6,0,12,0,5,0,2,0
Ogham Core,fr.sii.ogham.core.condition.provider,AnnotationConditionProvider,73,0,0,0,12,0,2,0,2,0
Ogham Core,fr.sii.ogham.core.condition.provider,RequiredPropertyAnnotationProvider,238,0,16,0,30,0,14,0,6,0
Ogham Core,fr.sii.ogham.core.condition.provider,ActivableAtRuntimeConditionProvider,15,0,2,0,4,0,3,0,2,0
Ogham Core,fr.sii.ogham.core.condition.provider,ImplementationConditionProvider,37,0,0,0,8,0,2,0,2,0
Ogham Core,fr.sii.ogham.core.condition.provider,RequiredClassAnnotationProvider,2,72,1,5,1,10,1,5,0,3
Ogham Core,fr.sii.ogham.core.condition.provider,RequiredClassesAnnotationProvider,0,69,0,6,0,11,0,5,0,2
Ogham Core,fr.sii.ogham.core.condition.provider,StaticConditionProvider,9,0,0,0,4,0,2,0,2,0
Ogham Core,fr.sii.ogham.core.convert,DefaultConverter,30,0,0,0,6,0,1,0,1,0
Ogham Core,fr.sii.ogham.core.convert,StringToArrayConverter,66,0,6,0,15,0,7,0,4,0
Ogham Core,fr.sii.ogham.core.convert,StringToBooleanConverter,97,0,10,0,22,0,9,0,4,0
Ogham Core,fr.sii.ogham.core.convert,StringToNumberConverter,0,293,2,66,0,60,2,39,0,7
Ogham Core,fr.sii.ogham.core.convert,DelegateConverter,10,58,0,6,3,12,2,6,2,3
Ogham Core,fr.sii.ogham.core.convert,NoConversionNeededConverter,9,0,0,0,3,0,3,0,3,0
Ogham Core,fr.sii.ogham.core.builder.charset,SimpleCharsetDetectorBuilder,47,0,2,0,12,0,5,0,4,0
Ogham Core,fr.sii.ogham.email.attachment,Attachment,220,69,4,0,56,8,29,3,27,3
Ogham Core,fr.sii.ogham.html.inliner.impl.jsoup,ImageInlineUtils,2,50,1,7,1,11,1,5,0,2
Ogham Core,fr.sii.ogham.html.inliner.impl.jsoup,JsoupBase64ImageInliner,0,104,0,8,0,17,0,7,0,3
Ogham Core,fr.sii.ogham.html.inliner.impl.jsoup,JsoupCssInliner,23,258,4,18,2,53,4,15,0,8
Ogham Core,fr.sii.ogham.html.inliner.impl.jsoup,JsoupAttachImageInliner,0,137,0,10,0,24,0,8,0,3
Ogham Core,fr.sii.ogham.sms.sender,PhoneNumberTranslatorSender,56,99,3,5,10,22,4,6,2,4
Ogham Core,fr.sii.ogham.sms.sender,SmsSender,26,0,0,0,9,0,4,0,4,0
Ogham Core,fr.sii.ogham.core.exception.builder,BuildException,13,0,0,0,6,0,3,0,3,0
Ogham Core,fr.sii.ogham.core.util.classpath,SimpleClasspathHelper,96,7,10,0,31,2,10,2,5,2
Ogham Core,fr.sii.ogham.core.exception.filler,FillMessageException,16,0,0,0,6,0,3,0,3,0
Ogham Core,fr.sii.ogham.core.builder.sender,SenderImplementationBuilderHelper,174,0,16,0,34,0,14,0,6,0
Ogham Core,fr.sii.ogham.sms.exception.message,PhoneNumberTranslatorException,13,0,0,0,6,0,3,0,3,0
Ogham Core,fr.sii.ogham.sms.exception.message,AddressingException,13,0,0,0,6,0,3,0,3,0
Ogham Core,fr.sii.ogham.sms.exception.message,EncodingException,13,0,0,0,6,0,3,0,3,0
Ogham Core,fr.sii.ogham.core.filler,AbstractMessageAwareFiller,90,0,14,0,20,0,13,0,6,0
Ogham Core,fr.sii.ogham.core.filler,EveryFillerDecorator,37,0,2,0,11,0,5,0,4,0
Ogham Core,fr.sii.ogham.core.filler,SubjectFiller,26,0,6,0,10,0,5,0,2,0
Ogham Core,fr.sii.ogham.core.template.context,BeanContext,47,0,0,0,9,0,5,0,5,0
Ogham Core,fr.sii.ogham.core.template.context,LocaleContext,27,0,0,0,9,0,5,0,5,0
Ogham Core,fr.sii.ogham.core.template.context,SimpleContext,50,0,0,0,11,0,6,0,6,0
Ogham Core,fr.sii.ogham.sms.builder,PhoneNumbersBuilder,45,0,4,0,10,0,6,0,4,0
