GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,MapAttachmentResourceHandler,17,34,1,1,1,11,1,4,0,4
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,MultiContentHandler,47,6,2,0,12,3,2,1,1,1
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,UpdatableUsernamePasswordAuthenticator,34,0,0,0,8,0,2,0,2,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,StreamResourceHandler,94,6,2,0,17,3,2,1,1,1
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,MapContentHandler,19,56,2,4,2,15,2,6,0,5
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,PropertiesUsernamePasswordAuthenticator,9,0,0,0,2,0,1,0,1,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,UsernamePasswordAuthenticator,17,0,0,0,5,0,2,0,2,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,StringContentHandler,18,54,1,1,4,12,1,2,0,2
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,ContentWithAttachmentsHandler,28,6,2,0,6,3,2,1,1,1
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,FileResourceHandler,70,34,0,0,8,8,0,2,0,2
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl,JavaMailSender,92,251,7,13,16,62,10,15,3,11
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl,PropertiesBridge,65,28,0,0,16,7,16,5,16,5
Ogham JavaMail implementation,fr.sii.ogham.email.builder.javamail,JavaMailBuilder,112,281,15,19,28,57,20,24,9,18
Ogham JavaMail implementation,fr.sii.ogham.email.builder.javamail,OverrideJavaMailResolver,59,218,10,42,14,48,10,31,3,12
Ogham JavaMail implementation,fr.sii.ogham.email.builder.javamail,UsernamePasswordAuthenticatorBuilder,130,0,22,0,24,0,16,0,5,0
Ogham JavaMail implementation,fr.sii.ogham.email.builder.javamail,DefaultJavaMailConfigurer,115,0,6,0,24,0,7,0,4,0
