GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.sender.impl.cloudhopper,CloudhopperOptions,16,27,0,0,8,10,4,5,4,5
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.sender.impl.cloudhopper,MapCloudhopperCharsetHandler,0,135,0,8,0,28,0,11,0,7
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.sender.impl,CloudhopperSMPPSender,88,357,7,21,23,82,13,21,6,14
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.builder.cloudhopper,CharsetBuilder.CharsetMapping,0,15,0,0,0,6,0,3,0,3
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.builder.cloudhopper,DefaultCloudhopperConfigurer,249,0,2,0,38,0,5,0,4,0
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.builder.cloudhopper,LoggingBuilder,12,0,0,0,5,0,3,0,3,0
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.builder.cloudhopper,SslBuilder,22,0,2,0,7,0,5,0,4,0
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.builder.cloudhopper,SessionBuilder,148,191,22,4,48,38,32,6,19,6
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.builder.cloudhopper,SessionBuilder.ValueOrProperties,13,6,0,0,6,2,3,2,3,2
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.builder.cloudhopper,CloudhopperBuilder,544,230,72,12,116,53,65,20,26,17
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.builder.cloudhopper,CloudhopperSessionOptions,28,59,0,0,10,27,9,16,9,16
Ogham Cloudhopper SMS implementation,fr.sii.ogham.sms.builder.cloudhopper,CharsetBuilder,7,107,4,6,2,24,4,6,0,5
