GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ogham OVH SMS implementation,fr.sii.ogham.sms.util.http,Response,0,21,0,0,0,8,0,4,0,4
Ogham OVH SMS implementation,fr.sii.ogham.sms.util.http,HttpStatus,61,654,16,6,6,61,14,7,5,5
Ogham OVH SMS implementation,fr.sii.ogham.sms.util.http,Parameter,0,15,0,0,0,6,0,3,0,3
Ogham OVH SMS implementation,fr.sii.ogham.sms.sender.impl.ovh,OvhOptions,23,24,3,1,8,8,6,4,4,4
Ogham OVH SMS implementation,fr.sii.ogham.sms.sender.impl.ovh,OvhAuthParams,0,21,0,0,0,8,0,4,0,4
Ogham OVH SMS implementation,fr.sii.ogham.sms.sender.impl.ovh,SmsCoding,37,0,0,0,7,0,3,0,3,0
Ogham OVH SMS implementation,fr.sii.ogham.sms.util,HttpUtils,33,186,3,13,6,34,4,11,1,6
Ogham OVH SMS implementation,fr.sii.ogham.sms.sender.impl,OvhSmsSender,33,233,0,10,9,41,3,12,3,7
Ogham OVH SMS implementation,fr.sii.ogham.sms.builder.ovh,OvhOptionsBuilder,95,82,18,4,17,20,15,6,4,6
Ogham OVH SMS implementation,fr.sii.ogham.sms.builder.ovh,OvhSmsBuilder,32,242,12,18,9,45,13,16,2,12
Ogham OVH SMS implementation,fr.sii.ogham.sms.builder.ovh,DefaultOvhSmsConfigurer,83,0,0,0,15,0,3,0,3,0
