GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.builder,FreemarkerSmsBuilder,6,4,0,0,2,2,1,1,1,1
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.builder,FreemarkerConfigurationBuilder,67,0,4,0,17,0,7,0,5,0
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.builder,AbstractFreemarkerMultiContentBuilder,54,0,2,0,11,0,5,0,4,0
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.builder,FreemarkerEmailBuilder,6,0,0,0,2,0,1,0,1,0
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.builder,AbstractFreemarkerBuilder,123,166,9,7,26,41,16,14,9,13
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.configurer,DefaultFreemarkerSmsConfigurer,171,0,8,0,28,0,9,0,5,0
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.configurer,DefaultFreemarkerEmailConfigurer,182,0,8,0,32,0,9,0,5,0
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.adapter,StringContentTemplateLoader.StringTemplateSource,28,0,0,0,5,0,3,0,3,0
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.adapter,ClassPathResolverAdapter.FixClassTemplateLoader,1,18,1,1,0,4,1,2,0,2
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.adapter,ClassPathResolverAdapter,4,30,2,2,1,8,2,4,0,4
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.adapter,StringResolverAdapter,16,3,2,0,3,1,3,1,2,1
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.adapter,FileResolverAdapter,35,13,2,0,5,5,3,2,2,2
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.adapter,StringContentTemplateLoader,18,0,0,0,5,0,5,0,5,0
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.adapter,AbstractFreeMarkerTemplateLoaderOptionsAdapter,3,7,0,0,1,3,1,2,1,2
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker.adapter,FirstSupportingResolverAdapter,47,53,6,4,10,14,7,6,3,5
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker,TemplateLoaderOptions,0,3,0,0,0,2,0,1,0,1
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker,FreeMarkerFirstSupportingTemplateLoader.AdaptedSource,41,28,6,0,7,8,7,4,4,4
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker,SkipLocaleForStringContentTemplateLookupStrategy,29,40,2,2,5,11,2,3,0,3
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker,FreeMarkerTemplateDetector,2,85,1,7,1,20,1,8,0,5
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker,FreeMarkerFirstSupportingTemplateLoader,48,57,0,2,6,13,0,6,0,5
Ogham FreeMarker integration,fr.sii.ogham.template.freemarker,FreeMarkerParser,11,66,0,2,3,16,1,4,1,3
