GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2,ThymeleafV2TemplateDetector,99,0,10,0,26,0,10,0,5,0
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2,ThymeLeafV2FirstSupportingTemplateResolver,16,60,1,1,2,17,1,5,0,5
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2.resolver,FixClassLoaderTemplateResolver,1,16,1,1,0,3,1,2,0,2
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2.resolver,StringResourceResolver,11,0,0,0,3,0,3,0,3,0
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2.resolver,StringTemplateResolver,8,0,0,0,3,0,1,0,1,0
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2.configure,DefaultThymeleafV2EmailConfigurer,19,0,4,0,6,0,6,0,4,0
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2.configure,DefaultThymeleafV2SmsConfigurer,15,0,4,0,3,0,5,0,3,0
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2.buider,ThymeleafV2SmsBuilder,26,45,1,1,6,10,4,3,3,3
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2.buider,ThymeleafV2EngineConfigBuilder,315,0,30,0,97,0,47,0,32,0
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2.buider,ThymeleafV2EmailBuilder,67,0,2,0,14,0,6,0,5,0
Ogham ThymeLeaf v2 integration,fr.sii.ogham.template.thymeleaf.v2.adapter,FixClassPathResolverAdapter,1,23,1,1,0,6,1,3,0,3
