GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reporting/ogham-core,fr.sii.ogham.core.message.content,EmailVariant,0,24,0,0,0,3,0,1,0,1
reporting/ogham-core,fr.sii.ogham.core.message.content,TemplateVariantContent,71,37,0,0,9,7,5,3,5,3
reporting/ogham-core,fr.sii.ogham.core.message.content,MultiContent,16,76,0,2,3,16,1,9,1,8
reporting/ogham-core,fr.sii.ogham.core.message.content,ParsedContent,47,59,5,5,9,12,10,6,5,6
reporting/ogham-core,fr.sii.ogham.core.message.content,TemplateContent,6,108,2,4,0,17,2,10,0,9
reporting/ogham-core,fr.sii.ogham.core.message.content,MultiTemplateContent,36,74,3,3,6,14,5,7,3,6
reporting/ogham-core,fr.sii.ogham.core.message.content,StringContent,0,40,0,0,0,10,0,7,0,7
reporting/ogham-core,fr.sii.ogham.core.message.content,StringTemplateContent,0,16,0,0,0,4,0,2,0,2
reporting/ogham-core,fr.sii.ogham.email.exception.attachment.translator,ResourceTranslatorException,5,0,0,0,2,0,1,0,1,0
reporting/ogham-core,fr.sii.ogham.email.message.fluent,BodyBuilder,27,55,0,2,5,13,3,7,3,6
reporting/ogham-core,fr.sii.ogham.email.message.fluent,AttachBuilder,45,134,0,0,8,26,7,15,7,15
reporting/ogham-core,fr.sii.ogham.email.message.fluent,EmbedBuilder,19,108,0,0,3,23,3,12,3,12
reporting/ogham-core,fr.sii.ogham.core.condition.provider,RequiredPropertiesAnnotationProvider,0,72,0,6,0,12,0,5,0,2
reporting/ogham-core,fr.sii.ogham.core.condition.provider,AnnotationConditionProvider,0,73,0,0,0,12,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.condition.provider,RequiredClassAnnotationProvider,0,74,0,6,0,11,0,6,0,3
reporting/ogham-core,fr.sii.ogham.core.condition.provider,RequiredPropertyAnnotationProvider,0,238,0,16,0,30,0,14,0,6
reporting/ogham-core,fr.sii.ogham.core.condition.provider,ActivableAtRuntimeConditionProvider,0,15,0,2,0,4,0,3,0,2
